Source,Country,Date,Description,Species,Number,"GenBank
accession
numbers",Collection,Locality,Province,"Geographical
region",DDM (Lat),DDM (Lon),Latitude,longitude,Latitude (GPS),Longitude (GPS),Coordinates Inferred,Coordinate system,DNA/No DNA
http://studentsrepo.um.edu.my/id/eprint/8931,Malaysia,2013-2014,Mosquitos were collected using human landing collections (HLC). Mosquitoes sampling were carried out monthly at all sampling sites for a year from August 2013 to July 2014. Three nights per month of collections were performed at both TD and LL while 2 nights per month in KP. Collections at each site from 1800-0600 hours. Mosquitoes landing on the legs of catchers were captured individually in vials plugged with cotton wool and placed into bags labelled accordingly to the hour and collection sites.,Anopheles balabacensis,848,,outdoor human leg catch,,"Kampung Paradason, mainland Kudat",,,,,,6.76837,116.78635,,,no dna
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,11,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.105253,106.631253,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,2,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.04694,106.452466,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,386,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.136553,106.858282,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,448,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.140144,106.790236,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,325,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.025147,106.829365,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,364,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.095729,106.744566,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,171,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.051882,106.674865,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,61,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.037711,106.551498,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles dirus,5,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.044533,106.498185,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,0,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.105253,106.631253,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,0,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.04694,106.452466,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,9,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.136553,106.858282,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,14,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.140144,106.790236,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,9,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.025147,106.829365,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,10,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.095729,106.744566,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,5,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.051882,106.674865,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,2,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.037711,106.551498,,GPS coordinates,dna PCR
"https://doi.org/10.1186/s12936-024-05166-9
",Cambodia,2019-2021,"March 2019 to March 2021. Conducted in 9 sites, seven in forested and two in neighbouring villages, over one year, the collection of Anopheles mosquitoes was made hourly for a 72-h period every month, using a human-baited double net trap. Each mosquito was collected using a mouth-aspirator and identified morphologically, and screened for the presence of Plasmodium. Each HBNT was operated by two volunteers taking turns in mosquito collection for three consecutive days in a month. Mosquitoes were collected every hour for 15 min during a 72-h period using a mouth-aspirator and transferred to a plastic cup covered with mosquito netting and labeled with site, date and hour of collection. Cups were kept with a humid towel and stored in plastic containers and brought back regularly to the laboratory for further processing.
",Anopheles baimaii,0,,Human-baited double net traps (HBNT),,Mondulkiri,Northeastern,,,,,13.044533,106.498185,,GPS coordinates,dna PCR
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,46,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Kg. Mela,,,"04°03'394""N","102°14'909""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,46,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Kg. Sg. Ular,,,"04°12'580""N","101°52'511""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,54,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Lata Cemerung,,,"04°10'684""N","102°41'436""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,27,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Kg. Sokor,,,"05°45'439""N","102°09'662""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,24,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Mersing,,,"02°14'577""N","103°34'460""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,28,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Kg. Sahom,,,"04°22'956""N","101°14'121""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,3,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Gerik,,,"05°25'384""N","101°13'895""E",,,,,Inferred from image,,no dna
10.4103/1995-7645.250841,Malaysia,"2014-2015Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ","Adult mosquitoes were caught monthly from March 2014 to October 2015. The sampling was conducted by using human landing catches and CO2-baited Centers for Disease Control light traps (CDC-LT) simultaneously. Outdoor collection of mosquitoes was done separately from the 8 sites, for 3 consecutive nights at each site from 18: 00 to 6: 00 h. ",Anopheles cracens,0,,"outdoor human landing catches, CO2-baited Centers for Disease Control light traps (CDC-LT)",Kg. Sg. Lui,,,"03°10'441""N","101°52'621""E",,,,,Inferred from image,,no dna
Indian Journal of Ecology (2016) 43 (1): 1-15,India,2010-2013,"During 2010 and 2011, two surveys were carried out in each pre-monsoon (March-April) and post-monsoon (September-October) seasons. In 2012 only one survey was done in the month of March-April, while during 2013, two surveys were carried out in the months of February-March and April.
surveys were carried out in each pre-monsoon (March-April)
and post-monsoon (September-October) seasons. In 2012
only one survey was done in the month of March-April, while
during 2013, two surveys were carried out in the months of
February-March and April. Adult mosquitoes were collected in
morning and night from both human and cattle sheds with the
help of an aspirator and torch light and specimens were
transferred to the test tubes in batches of 5-8 mosquitoes per
test tube. Soon after the collection, test tubes were marked indicating date, place and time of collection. Indoor and outdoor resting mosquitoes were collected from
all selected villages where morning collection was made.
Mosquitoes were collected with the help of suction tubes and
sweep nets in the forenoon for about two hours from tree
holes, shrubs, culverts etc. The mosquitoes were also
collected using the CDC light trap. ",Leucosphyrus Subgroup,79,,"Indoor resting morning and evening 6pm-10pm collection using CDC light trap, space spray, larval collection",Assam,,,,,24° 8' N-28° 2' N,89° 42' E-96° E,,,,Selection of villages using RS and GIS,no dna
